Trial,Centralized_RMSE,Federated_RMSE,RMSE_Difference,Centralized_MAE,Federated_MAE,MAE_Difference,Centralized_R2,Federated_R2,R2_Difference,Centralized_Time,Federated_Time,Time_Difference,Winner_RMSE,Winner_MAE,Winner_R2
1,1.6734756777191344,0.38206945532513553,1.2914062223939988,1.333465290743314,0.2982593812048435,1.0352059095384705,0.9340707685413128,0.8658723061429664,0.06819846239834637,16.27797818183899,145.03361177444458,-128.7556335926056,Federated,Federated,Centralized
2,1.8339385873738654,0.3713516832206671,1.4625869041531983,1.4603416959236482,0.27795908600091934,1.1823826099227288,0.9208212245732412,0.8654802914011878,0.055340933172053464,15.568770170211792,135.76852941513062,-120.19975924491882,Federated,Federated,Centralized
3,1.788915242766755,0.363762045149612,1.425153197617143,1.424323724773385,0.28264402970671654,1.1416796950666686,0.9246611940277085,0.8695225635544371,0.05513863047327139,14.707708358764648,144.0789053440094,-129.37119698524475,Federated,Federated,Centralized
4,1.785926155243231,0.3585931472523928,1.4273330079908382,1.425339815619601,0.2760276608169079,1.1493121548026932,0.9249127499893482,0.8626034278701611,0.06230932211918716,16.152743577957153,141.00177145004272,-124.84902787208557,Federated,Federated,Centralized
5,1.7161644822509763,0.3703071791029181,1.3458573031480583,1.3710345922461418,0.28719301521778107,1.0838415770283607,0.9306642810924992,0.863564993400429,0.06709928769207019,16.38333034515381,143.2221541404724,-126.8388237953186,Federated,Federated,Centralized
6,1.8204944064905502,0.34023089116937383,1.4802635153211763,1.4378642006891396,0.26441601291298866,1.173448187776151,0.9219778521801266,0.882106036647743,0.039871815532383614,15.438332319259644,145.15692329406738,-129.71859097480774,Federated,Federated,Centralized
7,1.7328938785869732,0.3621633413319859,1.3707305372549872,1.3862450933279966,0.28631148487329483,1.0999336084547018,0.9293059050388055,0.8538157594465914,0.07549014559221412,14.657557249069214,145.89247798919678,-131.23492074012756,Federated,Federated,Centralized
8,1.617833233205113,0.3579874904918746,1.2598457427132383,1.3046572596450117,0.28053610026836395,1.0241211593766477,0.9383821261850669,0.871462138239666,0.06691998794540088,14.56828236579895,144.65023565292358,-130.08195328712463,Federated,Federated,Centralized
9,1.7375970382615558,0.35814065263654116,1.3794563856250146,1.38540551345188,0.27765868231654167,1.1077468311353382,0.9289216497627395,0.8714015051531298,0.05752014460960975,14.269492387771606,149.8296685218811,-135.5601761341095,Federated,Federated,Centralized
10,1.690662946328636,0.37919291855271564,1.3114700277759204,1.3503800971450295,0.2919965609908104,1.058383536154219,0.9327095747757139,0.8512632795444822,0.0814462952312317,14.505059957504272,173.8549039363861,-159.34984397888184,Federated,Federated,Centralized
AVERAGE,1.7397901648226792,0.36437988042332164,1.3754102843993576,1.3879057283565148,0.2823002014309168,1.105605526925598,0.9286427326166564,0.8657092301400795,0.06293350247657692,15.252925491333007,146.84891815185546,-131.59599266052246,Federated,Federated,Centralized
